experimento,modelo,dataset,escopo,alvo,esparsidade_alvo,esparsidade_real,cabecas_removidas,neuronios_removidos,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,energia_kwh,emissoes_kg_co2
estruturada_cabecas_global_s00,gpt2,wikitext-2-raw-v1,global,cabecas,0.0,0.0,0,0,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,42.08327102661133,0.3196388781070709,0.00126414810412745,0.0002762599151706087
estruturada_cabecas_global_s10,gpt2,wikitext-2-raw-v1,global,cabecas,0.1,0.03240740740740744,14,0,236.9879913330078,121684608,121684608,464.18994140625,123756871680.0,41.232093811035156,0.5121190547943115,0.0012177350728393068,0.0002661170687393961
estruturada_cabecas_global_s20,gpt2,wikitext-2-raw-v1,global,cabecas,0.2,0.06481481481481477,28,0,165.11209106445312,118929408,118929408,453.6796875,120938299392.0,40.2091064453125,0.3753342032432556,0.0011913648391533788,0.00026035426413025426
estruturada_cabecas_global_s30,gpt2,wikitext-2-raw-v1,global,cabecas,0.3,0.09953703703703709,43,0,161.97930908203125,115977408,115977408,442.418701171875,117918400512.0,39.336544036865234,0.34632164239883423,0.0011588794687961768,0.0002532550914701324
estruturada_cabecas_global_s40,gpt2,wikitext-2-raw-v1,global,cabecas,0.4,0.13194444444444442,57,0,324.5395202636719,113222208,113222208,431.908447265625,115099828224.0,38.21051025390625,0.48954829573631287,0.0011333179137828185,0.0002476690110128166
estruturada_cabecas_global_s50,gpt2,wikitext-2-raw-v1,global,cabecas,0.5,0.16666666666666663,72,0,344.295654296875,110270208,110270208,420.6474609375,112079929344.0,37.487281799316406,0.6338408589363098,0.0010920939909580072,0.00023866016356416834
estruturada_cabecas_global_s60,gpt2,wikitext-2-raw-v1,global,cabecas,0.6,0.19907407407407407,86,0,365.39990234375,107515008,107515008,410.13720703125,109261357056.0,36.53546142578125,0.5263660550117493,0.0010631804970124628,0.00023234156896389776
estruturada_cabecas_global_s70,gpt2,wikitext-2-raw-v1,global,cabecas,0.7,0.2314814814814815,100,0,386.4627685546875,104759808,104759808,399.626953125,106442784768.0,35.767906188964844,0.32816481590270996,0.0010339658700259007,0.00022595716641905564
estruturada_cabecas_global_s80,gpt2,wikitext-2-raw-v1,global,cabecas,0.8,0.2662037037037037,115,0,633.2056274414062,101807808,101807808,388.365966796875,103422885888.0,34.80406951904297,0.3070705831050873,0.00099290453070002,0.00021698384906650614
estruturada_cabecas_global_s90,gpt2,wikitext-2-raw-v1,global,cabecas,0.9,0.29861111111111116,129,0,780.6814575195312,99052608,99052608,377.855712890625,100604313600.0,33.95115661621094,0.49740850925445557,0.0009698778328712997,0.00021195172223892033
