experimento,modelo,dataset,estrategia,escopo,esparsidade_alvo,esparsidade_real,cabecas_removidas,neuronios_removidos,taxa_sonda,beta,taxas_por_camada,perplexity,parametros_total,parametros_nao_zerados,tamanho_mb,flops,tempo_inferencia_ms_media,tempo_inferencia_ms_desvio,energia_kwh,emissoes_kg_co2
sensibilidade_magnitude_s90,gpt2,wikitext-2-raw-v1,magnitude,sensibilidade,0.9,0.8999999246479552,0,0,0.5,0.5,0.5459;0.9500;0.9500;0.9500;0.7579;0.9461;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500,7616.63037109375,124439808,47998624,474.7001953125,126575443968.0,42.942161560058594,1.1913142204284668,0.0014201303122787282,0.00019704283039106461
sensibilidade_estruturada_s00,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.0,0.0,0,0,0.5,0.5,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,25.170412063598633,124439808,124439808,474.7001953125,126575443968.0,46.181739807128906,1.0883842706680298,0.001478731079123178,0.00020517367645658463
sensibilidade_estruturada_s10,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.1,0.08967743149653717,10,3680,0.5,0.5,0.0209;0.1359;0.1006;0.0976;0.0894;0.1017;0.1123;0.1218;0.1194;0.1367;0.1125;0.0513,215.8267364501953,116815648,116815648,445.6163330078125,118774038528.0,43.948516845703125,1.1675689220428467,0.0014403344321561908,0.00019984614846109975
sensibilidade_estruturada_s20,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.2,0.18644393631436318,23,7368,0.5,0.5,0.0417;0.2719;0.2011;0.1952;0.1788;0.2034;0.2246;0.2436;0.2387;0.2734;0.2250;0.1026,717.1862182617188,108588792,108588792,414.2333679199219,110356070400.0,40.56431198120117,1.0990891456604004,0.0013309883739373617,0.00018467440216623197
sensibilidade_estruturada_s30,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.3,0.28547102011818726,37,11053,0.5,0.5,0.0626;0.4078;0.3017;0.2928;0.2682;0.3051;0.3370;0.3654;0.3581;0.4100;0.3375;0.1539,923.650146484375,100169747,100169747,382.11725997924805,101741494272.0,38.054115295410156,1.0682687759399414,0.0012235434802184532,0.000169766442110461
sensibilidade_estruturada_s40,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.4,0.3845342611412226,51,14740,0.5,0.5,0.0835;0.5437;0.4022;0.3904;0.3576;0.4067;0.4493;0.4872;0.4774;0.5467;0.4501;0.2051,9489.8681640625,91747628,91747628,349.9894256591797,93123772416.0,34.41276550292969,0.846903383731842,0.0011165544229754228,0.00015492172928533208
sensibilidade_estruturada_s50,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.5,0.49052386799909664,68,18426,0.5,0.5,0.1043;0.6797;0.5028;0.4880;0.4470;0.5084;0.5616;0.6090;0.5968;0.6834;0.5626;0.2564,7922.81494140625,82736646,82736646,315.6152572631836,83903643648.0,30.533910751342773,0.5545453429222107,0.0009890671051383873,0.000137232886417619
sensibilidade_estruturada_s60,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.6,0.5872903728169225,81,22114,0.5,0.5,0.1252;0.8156;0.6033;0.5857;0.5364;0.6101;0.6739;0.7308;0.7162;0.8201;0.6751;0.3077,12322.0498046875,74509790,74509790,284.23229217529297,75485675520.0,27.493976593017578,0.9069432020187378,0.0008803637408843392,0.0001221503137970266
sensibilidade_estruturada_s70,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.7,0.6886322714355616,96,25799,0.5,0.5,0.1462;0.9500;0.7048;0.6841;0.6266;0.7127;0.7872;0.8537;0.8366;0.9500;0.7886;0.3594,103463.6015625,65893945,65893945,251.36545181274414,66669772800.0,24.319032669067383,1.0284768342971802,0.0007857397501419247,0.00010902125176829932
sensibilidade_estruturada_s80,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.8,0.7899741700542006,111,29484,0.5,0.5,0.1764;0.9500;0.8501;0.8252;0.7557;0.8596;0.9495;0.9500;0.9500;0.9500;0.9500;0.4335,203995.84375,57278100,57278100,218.4986114501953,57853870080.0,20.838153839111328,1.0241146087646484,0.0006660698241478145,9.241707064020813e-05
sensibilidade_estruturada_s90,gpt2,wikitext-2-raw-v1,estruturada,sensibilidade,0.9,0.8890554896868413,125,33172,0.5,0.5,0.3759;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9500;0.9241,4830.23681640625,48854444,48854444,186.3649139404297,49234575360.0,19.634307861328125,0.5844886898994446,0.0005685092598077836,7.888055954267142e-05
